model_id,dataset_id,sigma,hamming_mean,hamming_ci_low,hamming_ci_high,recall_at_10_mean,recall_at_10_ci_low,recall_at_10_ci_high
intfloat/e5-mistral-7b-instruct,BEIR/msmarco,1.00e-02,0.825874,0.825463,0.826323,0.6500,0.6000,0.7167
Alibaba-NLP/gte-Qwen2-7B-instruct,BEIR/msmarco,1.00e-07,0.000010,0.000006,0.000014,1.0000,1.0000,1.0000
Alibaba-NLP/gte-Qwen2-7B-instruct,BEIR/msmarco,3.16e-07,0.000044,0.000037,0.000052,1.0000,1.0000,1.0000
Alibaba-NLP/gte-Qwen2-7B-instruct,BEIR/msmarco,1.00e-06,0.000144,0.000129,0.000159,1.0000,1.0000,1.0000
Alibaba-NLP/gte-Qwen2-7B-instruct,BEIR/msmarco,3.16e-06,0.000422,0.000395,0.000447,1.0000,1.0000,1.0000
Alibaba-NLP/gte-Qwen2-7B-instruct,BEIR/msmarco,1.00e-05,0.001331,0.001288,0.001373,1.0000,1.0000,1.0000
Alibaba-NLP/gte-Qwen2-7B-instruct,BEIR/msmarco,3.16e-05,0.004285,0.004207,0.004361,1.0000,1.0000,1.0000
Alibaba-NLP/gte-Qwen2-7B-instruct,BEIR/msmarco,1.00e-04,0.013545,0.013412,0.013686,1.0000,1.0000,1.0000
Alibaba-NLP/gte-Qwen2-7B-instruct,BEIR/msmarco,3.16e-04,0.042344,0.042119,0.042596,1.0000,1.0000,1.0000
Alibaba-NLP/gte-Qwen2-7B-instruct,BEIR/msmarco,1.00e-03,0.129247,0.128844,0.129634,0.9667,0.9333,1.0000
Alibaba-NLP/gte-Qwen2-7B-instruct,BEIR/msmarco,3.16e-03,0.364886,0.364294,0.365463,0.9667,0.9333,1.0000
Alibaba-NLP/gte-Qwen2-7B-instruct,BEIR/msmarco,1.00e-02,0.798624,0.798137,0.799105,0.8000,0.7500,0.8500
openai/text-embedding-3-large,BEIR/msmarco,1.00e-07,0.000017,0.000013,0.000023,1.0000,1.0000,1.0000
openai/text-embedding-3-large,BEIR/msmarco,3.16e-07,0.000041,0.000032,0.000049,1.0000,1.0000,1.0000
openai/text-embedding-3-large,BEIR/msmarco,1.00e-06,0.000129,0.000113,0.000143,1.0000,1.0000,1.0000
openai/text-embedding-3-large,BEIR/msmarco,3.16e-06,0.000426,0.000401,0.000453,1.0000,1.0000,1.0000
openai/text-embedding-3-large,BEIR/msmarco,1.00e-05,0.001603,0.001551,0.001657,1.0000,1.0000,1.0000
openai/text-embedding-3-large,BEIR/msmarco,3.16e-05,0.004728,0.004643,0.004813,1.0000,1.0000,1.0000
openai/text-embedding-3-large,BEIR/msmarco,1.00e-04,0.013500,0.013344,0.013641,1.0000,1.0000,1.0000
openai/text-embedding-3-large,BEIR/msmarco,3.16e-04,0.039656,0.039409,0.039895,1.0000,1.0000,1.0000
openai/text-embedding-3-large,BEIR/msmarco,1.00e-03,0.118260,0.117826,0.118648,1.0000,1.0000,1.0000
openai/text-embedding-3-large,BEIR/msmarco,3.16e-03,0.333436,0.332835,0.334043,0.9833,0.9500,1.0000
openai/text-embedding-3-large,BEIR/msmarco,1.00e-02,0.756241,0.755679,0.756813,0.8500,0.8167,0.8833
